,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
72,72,2,23041,18,9,18,10,18,13,10,17,10,24,10,17,10,34,10,47,10,33,18,10,18,18,18,10,10,16,10,16,10,15,10,869,10,33,10,36
73,73,2,11666,6,4,6,3,6,4,2,4,2,4,2,3,2,4,2,4,2,5,2,4,2,8,2,5,2,4,2,4,2,4,2,8,2,7,2,7
74,74,3,16434,33,15,33,13,33,19,9,12,9,14,9,11,9,27,9,231,9,29,9,7,9,8,9,7,9,23,9,29,9,93,9,68,9,63,9,57
75,75,7,15985,26,9,26,8,26,12,24,12,24,10,24,11,26,11,26,12,26,11,26,13,26,13,26,10,24,11,24,21,24,13,26,12,26,11,26,11
76,76,1,14757,21,8,21,10,21,11,3,5,3,5,3,5,3,11,3,10,3,10,21,11,21,10,21,10,3,7,3,14,3,9,3,11,3,12,3,13
77,77,1,7124,10,2,10,2,10,4,10,3,10,2,10,3,10,2,10,5,10,4,10,3,10,5,10,3,2,3,2,5,2,3,1,31,1,26,1,28
78,78,1,13515,6,4,6,6,6,5,2,4,2,4,2,4,2,5,2,7,2,4,6,5,6,9,6,6,2,4,2,10,2,4,2,7,2,4,2,5
79,79,1,15005,1,72,1,5,1,5,1,6,1,6,1,5,1,4,1,6,1,5,1,6,1,7,1,5,1,5,1,11,1,6,1,5,1,5,1,4
80,80,7,24535,19,11,19,12,19,11,17,13,17,12,17,13,19,30,19,49,19,29,19,11,19,15,19,10,17,13,17,17,17,13,19,30,19,28,19,28
81,81,1,13762,6,5,6,6,6,5,2,3,2,4,2,3,2,5,2,7,2,5,6,5,6,6,6,4,2,5,2,6,2,5,1,4,1,4,1,4
82,82,1,12216,6,4,6,4,6,4,6,5,6,4,6,4,4,4,4,7,4,5,6,5,6,6,6,4,6,2,6,5,6,4,1,9,1,8,1,9
83,83,1,15345,27,8,27,7,27,8,25,7,25,9,25,7,23,9,23,12,23,9,27,8,27,13,27,9,25,9,25,8,25,9,23,8,23,8,23,9
84,84,1,10520,1,2,1,2,1,3,1,4,1,3,1,4,1,3,1,3,1,4,1,4,1,5,1,3,1,3,1,4,1,3,1,10,1,8,1,9
85,85,10,25022,27,14,27,13,27,17,27,24,27,23,27,20,27,25,27,27,27,26,27,17,27,22,27,17,27,18,27,26,27,23,27,27,27,26,27,26
86,86,11,30750,72,29,72,26,72,36,72,227,72,43,72,38,24,87,24,75,24,83,72,37,72,52,72,82,26,32,26,35,26,35,31,82,31,79,31,192
87,87,1,15605,1,4,1,4,1,5,1,9,1,9,1,7,1,5,1,4,1,5,1,4,1,6,1,4,1,6,1,10,1,7,1,4,1,5,1,4
88,88,14,35423,45,23,45,22,45,29,45,49,45,38,45,35,45,112,45,111,45,238,45,26,45,42,45,26,45,177,45,39,45,36,45,171,45,161,45,169
89,89,4,19254,6,6,6,7,6,6,6,8,6,6,6,5,6,6,6,6,6,7,6,8,6,10,6,7,6,6,6,6,6,6,6,7,6,6,6,6
90,90,6,20384,56,22,56,22,56,29,17,30,17,20,17,18,13,22,13,30,13,24,21,12,21,16,21,13,17,23,17,25,17,23,13,83,13,83,13,84
91,91,6,17002,22,10,22,10,22,12,50,29,50,22,50,21,22,270,22,32,22,33,54,25,54,29,54,23,72,39,72,278,72,38,50,221,50,213,50,213
92,92,20,44033,44,20,44,23,44,26,48,129,48,106,48,98,48,945,48,675,48,529,44,27,44,40,44,24,48,301,48,374,48,304,39,55,39,53,39,56
93,93,5,31715,17,10,17,12,17,16,17,52,17,43,17,43,17,355,17,187,17,335,17,16,17,19,17,14,17,44,17,64,17,59,17,157,17,162,17,154
94,94,2,7343,46,12,46,12,46,17,46,19,46,12,46,13,4,20,4,18,4,20,46,15,46,18,46,14,2,150,2,198,2,381,2,6429,2,5523,2,5738
95,95,15,30387,31,15,31,16,31,18,31,130,31,259,31,83,31,170,31,162,31,173,31,79,31,102,31,66,31,427,31,586,31,663,31,494,31,482,31,492
96,96,7,12512,45,15,45,14,45,18,45,23,45,17,45,18,35,30,35,30,35,27,45,17,45,24,45,17,20,24,20,33,20,42,7,138,7,142,7,142
97,97,7,22530,23,12,23,12,23,14,23,39,23,31,23,30,23,56,23,57,23,50,23,14,23,16,23,12,23,40,23,53,23,64,21,232,21,225,21,231
98,98,1,10359,1,2,1,2,1,3,1,5,1,4,1,5,1,3,1,4,1,3,1,3,1,6,1,3,1,3,1,6,1,7,1,17,1,16,1,16
99,99,7,18889,35,12,35,13,35,14,33,21,33,17,33,17,17,20,17,19,17,17,35,16,35,20,35,13,15,11,15,12,15,16,17,23,17,24,17,27
100,100,1,14452,13,4,13,5,13,6,1,8,1,5,1,4,1,4,1,9,1,5,13,5,13,9,13,6,1,3,1,5,1,5,1,5,1,5,1,5
